
,Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.Your use of Cboe data is subject to the Terms and Conditions for use of Cboe Websites.\n
,To access our full collection of comprehensive historical market data visit CBOE Data Shop at https://datashop.cboe.com.\n
Date,Open,High,Low,Close
3/3/2022,1425.99,1425.99,1425.99,1425.99
3/4/2022,1426.89,1426.89,1426.89,1426.89
3/7/2022,1412.41,1412.41,1412.41,1412.41
3/8/2022,1403.85,1403.85,1403.85,1403.85
3/9/2022,1410.86,1410.86,1410.86,1410.86
3/10/2022,1404.44,1404.44,1404.44,1404.44
3/11/2022,1400.67,1400.67,1400.67,1400.67
3/14/2022,1392.23,1392.23,1392.23,1392.23
3/15/2022,1398.15,1398.15,1398.15,1398.15
3/16/2022,1403.48,1403.48,1403.48,1403.48
3/17/2022,1405.54,1405.54,1405.54,1405.54
3/18/2022,1408.67,1408.67,1408.67,1408.67
3/21/2022,1399.32,1399.32,1399.32,1399.32
3/22/2022,1398.8,1398.8,1398.8,1398.8
3/23/2022,1399.77,1399.77,1399.77,1399.77
3/24/2022,1399.68,1399.68,1399.68,1399.68
3/25/2022,1394.95,1394.95,1394.95,1394.95
3/28/2022,1398.13,1398.13,1398.13,1398.13
3/29/2022,1405.51,1405.51,1405.51,1405.51
3/30/2022,1407.12,1407.12,1407.12,1407.12
3/31/2022,1401.96,1401.96,1401.96,1401.96
4/1/2022,1398.48,1398.48,1398.48,1398.48
4/4/2022,1399.41,1399.41,1399.41,1399.41
4/5/2022,1388.27,1388.27,1388.27,1388.27
4/6/2022,1383.68,1383.68,1383.68,1383.68
4/7/2022,1384.29,1384.29,1384.29,1384.29
4/8/2022,1381.01,1381.01,1381.01,1381.01
4/11/2022,1373.32,1373.32,1373.32,1373.32
4/12/2022,1373.01,1373.01,1373.01,1373.01
4/13/2022,1376.79,1376.79,1376.79,1376.79
4/14/2022,1367.67,1367.67,1367.67,1367.67
4/18/2022,1365.86,1365.86,1365.86,1365.86
4/19/2022,1366.78,1366.78,1366.78,1366.78
4/20/2022,1376.06,1376.06,1376.06,1376.06
4/21/2022,1368.49,1368.49,1368.49,1368.49
4/22/2022,1360.98,1360.98,1360.98,1360.98
4/25/2022,1367.92,1367.92,1367.92,1367.92
4/26/2022,1363.8,1363.8,1363.8,1363.8
4/27/2022,1362.39,1362.39,1362.39,1362.39
4/28/2022,1367.26,1367.26,1367.26,1367.26
4/29/2022,1355.49,1355.49,1355.49,1355.49
5/2/2022,1351.63,1351.63,1351.63,1351.63
5/3/2022,1353.02,1353.02,1353.02,1353.02
5/4/2022,1362.66,1362.66,1362.66,1362.66
5/5/2022,1348.4,1348.4,1348.4,1348.4
5/6/2022,1344.14,1344.14,1344.14,1344.14
5/9/2022,1343.25,1343.25,1343.25,1343.25
5/10/2022,1344.84,1344.84,1344.84,1344.84
5/11/2022,1344.94,1344.94,1344.94,1344.94
5/12/2022,1346.67,1346.67,1346.67,1346.67
5/13/2022,1347.62,1347.62,1347.62,1347.62
5/16/2022,1350.79,1350.79,1350.79,1350.79
5/17/2022,1351.48,1351.48,1351.48,1351.48
5/18/2022,1346.79,1346.79,1346.79,1346.79
5/19/2022,1347.75,1347.75,1347.75,1347.75
5/20/2022,1351.84,1351.84,1351.84,1351.84
5/23/2022,1354.51,1354.51,1354.51,1354.51
5/24/2022,1361.53,1361.53,1361.53,1361.53
5/25/2022,1362.97,1362.97,1362.97,1362.97
5/26/2022,1365.56,1365.56,1365.56,1365.56
